id,planet,star,method,year,radius,mass
2518,Kepler-148 d,Kepler-148,Transit,2016,8.68,NA
2519,Kepler-1480 b,Kepler-1480,Transit,2016,1.67,NA
2520,Kepler-1481 b,Kepler-1481,Transit,2016,1.23,NA
2521,Kepler-1482 b,Kepler-1482,Transit,2016,1.01,NA
2522,Kepler-1483 b,Kepler-1483,Transit,2016,1.52,NA
2523,Kepler-1484 b,Kepler-1484,Transit,2016,2.11,NA
2524,Kepler-1485 b,Kepler-1485,Transit,2016,1.47,NA
2525,Kepler-1486 b,Kepler-1486,Transit,2016,2.32,NA
2526,Kepler-1487 b,Kepler-1487,Transit,2016,2.13,NA
2527,Kepler-1488 b,Kepler-1488,Transit,2016,1.86,NA
2528,Kepler-1488 c,Kepler-1488,Transit,2021,1.652,NA
2529,Kepler-1489 b,Kepler-1489,Transit,2016,1.77,NA
2530,Kepler-149 b,Kepler-149,Transit,2014,4.21,NA
2531,Kepler-149 c,Kepler-149,Transit,2014,1.61,NA
2532,Kepler-149 d,Kepler-149,Transit,2014,3.96,NA
2533,Kepler-1490 b,Kepler-1490,Transit,2016,3.04,NA
2534,Kepler-1491 b,Kepler-1491,Transit,2016,1.51,NA
2535,Kepler-1492 b,Kepler-1492,Transit,2016,1.49,NA
2536,Kepler-1493 b,Kepler-1493,Transit,2016,1.41,NA
2537,Kepler-1494 b,Kepler-1494,Transit,2016,3.07,NA
2538,Kepler-1495 b,Kepler-1495,Transit,2016,2.94,NA
2539,Kepler-1496 b,Kepler-1496,Transit,2016,2.22,NA
2540,Kepler-1497 b,Kepler-1497,Transit,2016,1.66,NA
2541,Kepler-1498 b,Kepler-1498,Transit,2016,1.33,NA
2542,Kepler-1499 b,Kepler-1499,Transit,2016,1.19,NA
2543,Kepler-15 b,Kepler-15,Transit,2011,10.76,209.76
2544,Kepler-150 b,Kepler-150,Transit,2014,1.25,NA
2545,Kepler-150 c,Kepler-150,Transit,2014,3.69,NA
2546,Kepler-150 d,Kepler-150,Transit,2014,2.79,NA
2547,Kepler-150 e,Kepler-150,Transit,2014,3.12,NA
2548,Kepler-150 f,Kepler-150,Transit,2017,3.64,NA
2549,Kepler-1500 b,Kepler-1500,Transit,2016,1.2,NA
2550,Kepler-1501 b,Kepler-1501,Transit,2016,1.56,NA
2551,Kepler-1502 b,Kepler-1502,Transit,2016,3.18,NA
2552,Kepler-1503 b,Kepler-1503,Transit,2016,2.27,NA
2553,Kepler-1504 b,Kepler-1504,Transit,2016,2.13,NA
2554,Kepler-1505 b,Kepler-1505,Transit,2016,0.93,NA
2555,Kepler-1506 b,Kepler-1506,Transit,2016,1.32,NA
2556,Kepler-1507 b,Kepler-1507,Transit,2016,0.84,NA
2557,Kepler-1508 b,Kepler-1508,Transit,2016,1.33,NA
2558,Kepler-1509 b,Kepler-1509,Transit,2016,1.85,NA
2559,Kepler-151 b,Kepler-151,Transit,2014,3.06,NA
2560,Kepler-151 c,Kepler-151,Transit,2014,2.09,NA
2561,Kepler-1510 b,Kepler-1510,Transit,2016,3.36,NA
2562,Kepler-1511 b,Kepler-1511,Transit,2016,1.68,NA
2563,Kepler-1512 b,Kepler-1512,Transit,2016,1.18,NA
2564,Kepler-1513 b,Kepler-1513,Transit,2016,8.46,NA
2565,Kepler-1514 b,Kepler-1514,Transit,2016,12.42,1678.1424
2566,Kepler-1514 c,Kepler-1514,Transit,2020,1.176,NA
2567,Kepler-1515 b,Kepler-1515,Transit,2016,9.55,NA
2568,Kepler-1516 b,Kepler-1516,Transit,2016,1.75,NA
2569,Kepler-1517 b,Kepler-1517,Transit,2016,9.76,NA
2570,Kepler-1518 b,Kepler-1518,Transit,2016,3.05,NA
2571,Kepler-1519 b,Kepler-1519,Transit,2016,7.06,NA
2572,Kepler-152 b,Kepler-152,Transit,2014,2.79,NA
2573,Kepler-152 c,Kepler-152,Transit,2014,2.39,NA
2574,Kepler-1520 b,Kepler-1520,Transit,2016,5.77,NA
2575,Kepler-1521 b,Kepler-1521,Transit,2016,2.5,NA
2576,Kepler-1522 b,Kepler-1522,Transit,2016,1.73,NA
2577,Kepler-1523 b,Kepler-1523,Transit,2016,1.58,NA
2578,Kepler-1524 b,Kepler-1524,Transit,2016,3.54,NA
2579,Kepler-1525 b,Kepler-1525,Transit,2016,0.91,NA
2580,Kepler-1526 b,Kepler-1526,Transit,2016,2.43,NA
2581,Kepler-1527 b,Kepler-1527,Transit,2016,4.77,NA
2582,Kepler-1528 b,Kepler-1528,Transit,2016,1.46,NA
2583,Kepler-1529 b,Kepler-1529,Transit,2016,2.1,NA
2584,Kepler-153 b,Kepler-153,Transit,2014,2.92,NA
2585,Kepler-153 c,Kepler-153,Transit,2014,2.53,NA
2586,Kepler-1530 b,Kepler-1530,Transit,2016,1.64,NA
2587,Kepler-1530 c,Kepler-1530,Transit,2016,1.65,NA
2588,Kepler-1530 d,Kepler-1530,Transit,2021,3.279,NA
2589,Kepler-1531 b,Kepler-1531,Transit,2016,1.11,NA
2590,Kepler-1532 b,Kepler-1532,Transit,2016,1.35,NA
2591,Kepler-1533 b,Kepler-1533,Transit,2016,3.46,NA
2592,Kepler-1534 b,Kepler-1534,Transit,2016,1.89,NA
2593,Kepler-1535 b,Kepler-1535,Transit,2016,2.55,NA
2594,Kepler-1536 b,Kepler-1536,Transit,2016,3.14,NA
2595,Kepler-1537 b,Kepler-1537,Transit,2016,1.18,NA
2596,Kepler-1538 b,Kepler-1538,Transit,2016,2.82,NA
2597,Kepler-1539 b,Kepler-1539,Transit,2016,2.7,NA
2598,Kepler-154 b,Kepler-154,Transit,2014,2.26,NA
2599,Kepler-154 c,Kepler-154,Transit,2014,2.95,NA
2600,Kepler-154 d,Kepler-154,Transit,2016,3.84,NA
2601,Kepler-154 e,Kepler-154,Transit,2016,1.5,NA
2602,Kepler-154 f,Kepler-154,Transit,2016,1.5,NA
2603,Kepler-1540 b,Kepler-1540,Transit,2016,2.49,NA
2604,Kepler-1541 b,Kepler-1541,Transit,2016,1.16,NA
2605,Kepler-1542 b,Kepler-1542,Transit,2016,0.76,NA
2606,Kepler-1542 c,Kepler-1542,Transit,2016,0.65,NA
2607,Kepler-1542 d,Kepler-1542,Transit,2016,0.87,NA
2608,Kepler-1542 e,Kepler-1542,Transit,2016,0.76,NA
2609,Kepler-1543 b,Kepler-1543,Transit,2016,2.71,NA
2610,Kepler-1544 b,Kepler-1544,Transit,2016,1.78,NA
2611,Kepler-1545 b,Kepler-1545,Transit,2016,2.7,NA
2612,Kepler-1546 b,Kepler-1546,Transit,2016,3.13,NA
2613,Kepler-1547 b,Kepler-1547,Transit,2016,0.9,NA
2614,Kepler-1548 b,Kepler-1548,Transit,2016,2.64,NA
2615,Kepler-1549 b,Kepler-1549,Transit,2016,2.57,NA
2616,Kepler-155 b,Kepler-155,Transit,2014,2.09,NA
2617,Kepler-155 c,Kepler-155,Transit,2014,2.24,NA
2618,Kepler-1550 b,Kepler-1550,Transit,2016,3.02,NA
2619,Kepler-1551 b,Kepler-1551,Transit,2016,2.66,NA
2620,Kepler-1552 b,Kepler-1552,Transit,2016,2.47,NA
2621,Kepler-1553 b,Kepler-1553,Transit,2016,1.15,NA
2622,Kepler-1554 b,Kepler-1554,Transit,2016,2.9,NA
2623,Kepler-1555 b,Kepler-1555,Transit,2016,1.61,NA
2624,Kepler-1556 b,Kepler-1556,Transit,2016,1.96,NA
2625,Kepler-1557 b,Kepler-1557,Transit,2016,1.53,NA
2626,Kepler-1558 b,Kepler-1558,Transit,2016,0.68,NA
2627,Kepler-1559 b,Kepler-1559,Transit,2016,0.72,NA
2628,Kepler-156 b,Kepler-156,Transit,2014,2.3,NA
2629,Kepler-156 c,Kepler-156,Transit,2014,2.55,NA
2630,Kepler-1560 b,Kepler-1560,Transit,2016,0.89,NA
2631,Kepler-1561 b,Kepler-1561,Transit,2016,1.09,NA
2632,Kepler-1562 b,Kepler-1562,Transit,2016,3.55,NA
2633,Kepler-1563 b,Kepler-1563,Transit,2016,0.75,NA
2634,Kepler-1564 b,Kepler-1564,Transit,2016,1.47,NA
2635,Kepler-1565 b,Kepler-1565,Transit,2016,1.19,NA
2636,Kepler-1566 b,Kepler-1566,Transit,2016,0.79,NA
2637,Kepler-1567 b,Kepler-1567,Transit,2016,2.73,NA
2638,Kepler-1568 b,Kepler-1568,Transit,2016,1.3,NA
2639,Kepler-1569 b,Kepler-1569,Transit,2016,1.68,NA
2640,Kepler-157 b,Kepler-157,Transit,2014,1.32,NA
2641,Kepler-157 c,Kepler-157,Transit,2014,2.24,NA
2642,Kepler-157 d,Kepler-157,Transit,2016,1.46,NA
2643,Kepler-1570 b,Kepler-1570,Transit,2016,1.07,NA
2644,Kepler-1571 b,Kepler-1571,Transit,2016,1.52,NA
2645,Kepler-1572 b,Kepler-1572,Transit,2016,0.94,NA
2646,Kepler-1573 b,Kepler-1573,Transit,2016,1.2,NA
2647,Kepler-1574 b,Kepler-1574,Transit,2016,1.29,NA
2648,Kepler-1575 b,Kepler-1575,Transit,2016,1.31,NA
2649,Kepler-1576 b,Kepler-1576,Transit,2016,1.04,NA
2650,Kepler-1577 b,Kepler-1577,Transit,2016,1.13,NA
2651,Kepler-1578 b,Kepler-1578,Transit,2016,1.04,NA
2652,Kepler-1579 b,Kepler-1579,Transit,2016,0.84,NA
2653,Kepler-158 b,Kepler-158,Transit,2014,2.12,NA
2654,Kepler-158 c,Kepler-158,Transit,2014,1.9,NA
2655,Kepler-1580 b,Kepler-1580,Transit,2016,2.11,NA
2656,Kepler-1581 b,Kepler-1581,Transit,2016,0.8,NA
2657,Kepler-1582 b,Kepler-1582,Transit,2016,1.49,NA
2658,Kepler-1583 b,Kepler-1583,Transit,2016,0.6,NA
2659,Kepler-1584 b,Kepler-1584,Transit,2016,1.61,NA
2660,Kepler-1585 b,Kepler-1585,Transit,2016,1.79,NA
2661,Kepler-1586 b,Kepler-1586,Transit,2016,1.52,NA
2662,Kepler-1587 b,Kepler-1587,Transit,2016,1.33,NA
2663,Kepler-1588 b,Kepler-1588,Transit,2016,0.76,NA
2664,Kepler-1589 b,Kepler-1589,Transit,2016,1.09,NA
2665,Kepler-159 b,Kepler-159,Transit,2014,2.38,NA
2666,Kepler-159 c,Kepler-159,Transit,2014,3.41,NA
2667,Kepler-1590 b,Kepler-1590,Transit,2016,1.14,NA
2668,Kepler-1591 b,Kepler-1591,Transit,2016,1.27,NA
2669,Kepler-1592 b,Kepler-1592,Transit,2016,1.54,NA
2670,Kepler-1593 b,Kepler-1593,Transit,2016,3.17,NA
2671,Kepler-1594 b,Kepler-1594,Transit,2016,1.06,NA
2672,Kepler-1595 b,Kepler-1595,Transit,2016,1.23,NA
2673,Kepler-1596 b,Kepler-1596,Transit,2016,1.9,NA
2674,Kepler-1597 b,Kepler-1597,Transit,2016,1.06,NA
2675,Kepler-1598 b,Kepler-1598,Transit,2016,0.95,NA
2676,Kepler-1599 b,Kepler-1599,Transit,2016,1.62,NA
2677,Kepler-16 b,Kepler-16,Transit,2011,8.449,105.833
2678,Kepler-160 b,Kepler-160,Transit,2014,1.715,NA
2679,Kepler-160 c,Kepler-160,Transit,2014,3.76,NA
2680,Kepler-160 d,Kepler-160,Transit Timing Variations,2020,NA,100
2681,Kepler-1600 b,Kepler-1600,Transit,2016,3.13,NA
2682,Kepler-1600 c,Kepler-1600,Transit,2021,1.942,NA
2683,Kepler-1601 b,Kepler-1601,Transit,2016,0.82,NA
2684,Kepler-1602 b,Kepler-1602,Transit,2016,1.34,NA
2685,Kepler-1603 b,Kepler-1603,Transit,2016,1.29,NA
2686,Kepler-1604 b,Kepler-1604,Transit,2016,1.41,NA
2687,Kepler-1605 b,Kepler-1605,Transit,2016,1.08,NA
2688,Kepler-1606 b,Kepler-1606,Transit,2016,2.07,NA
2689,Kepler-1607 b,Kepler-1607,Transit,2016,0.92,NA
2690,Kepler-1608 b,Kepler-1608,Transit,2016,1.73,NA
2691,Kepler-1609 b,Kepler-1609,Transit,2016,2.22,NA
2692,Kepler-161 b,Kepler-161,Transit,2014,2.12,NA
2693,Kepler-161 c,Kepler-161,Transit,2014,2.05,NA
2694,Kepler-1610 b,Kepler-1610,Transit,2016,1.61,NA
2695,Kepler-1611 b,Kepler-1611,Transit,2016,0.81,NA
2696,Kepler-1612 b,Kepler-1612,Transit,2016,1.03,NA
2697,Kepler-1613 b,Kepler-1613,Transit,2016,2.08,NA
2698,Kepler-1614 b,Kepler-1614,Transit,2016,1.49,NA
2699,Kepler-1615 b,Kepler-1615,Transit,2016,2.06,NA
2700,Kepler-1616 b,Kepler-1616,Transit,2016,1.02,NA
2701,Kepler-1617 b,Kepler-1617,Transit,2016,1.2,NA
2702,Kepler-1618 b,Kepler-1618,Transit,2016,1.26,NA
2703,Kepler-1619 b,Kepler-1619,Transit,2016,0.76,NA
2704,Kepler-162 b,Kepler-162,Transit,2014,1.26,NA
2705,Kepler-162 c,Kepler-162,Transit,2014,3.03,NA
2706,Kepler-1620 b,Kepler-1620,Transit,2016,1.61,NA
2707,Kepler-1621 b,Kepler-1621,Transit,2016,2.16,NA
2708,Kepler-1622 b,Kepler-1622,Transit,2016,1.47,NA
2709,Kepler-1623 b,Kepler-1623,Transit,2016,1.31,NA
2710,Kepler-1624 b,Kepler-1624,Transit,2016,5.7,NA
2711,Kepler-1625 b,Kepler-1625,Transit,2016,6.06,NA
2712,Kepler-1626 b,Kepler-1626,Transit,2016,2.02,NA
2713,Kepler-1627 b,Kepler-1627,Transit,2016,3.69,NA
2714,Kepler-1628 b,Kepler-1628,Transit,2016,6.43,NA
2715,Kepler-1629 b,Kepler-1629,Transit,2016,0.77,NA
2716,Kepler-163 b,Kepler-163,Transit,2014,1.05,NA
2717,Kepler-163 c,Kepler-163,Transit,2014,2.26,NA
2718,Kepler-1630 b,Kepler-1630,Transit,2016,2.19,NA
2719,Kepler-1631 b,Kepler-1631,Transit,2016,1.35,NA
2720,Kepler-1632 b,Kepler-1632,Transit,2016,2.47,NA
2721,Kepler-1633 b,Kepler-1633,Transit,2016,1.58,NA
2722,Kepler-1634 b,Kepler-1634,Transit,2016,3.19,NA
2723,Kepler-1635 b,Kepler-1635,Transit,2016,3.64,NA
2724,Kepler-1636 b,Kepler-1636,Transit,2016,3.23,NA
2725,Kepler-1637 b,Kepler-1637,Transit,2016,0.89,NA
2726,Kepler-1638 b,Kepler-1638,Transit,2016,1.87,NA
2727,Kepler-1639 b,Kepler-1639,Transit,2016,2.58,NA
2728,Kepler-164 b,Kepler-164,Transit,2014,1.41,NA
2729,Kepler-164 c,Kepler-164,Transit,2014,2.73,NA
2730,Kepler-164 d,Kepler-164,Transit,2014,2.45,NA
2731,Kepler-1640 b,Kepler-1640,Transit,2016,4.82,NA
2732,Kepler-1641 b,Kepler-1641,Transit,2016,3.11,NA
2733,Kepler-1641 c,Kepler-1641,Transit,2016,2.95,NA
2734,Kepler-1642 b,Kepler-1642,Transit,2016,3.2,NA
2735,Kepler-1642 c,Kepler-1642,Transit,2016,2.66,NA
2736,Kepler-1643 b,Kepler-1643,Transit,2016,2.32,NA
2737,Kepler-1644 b,Kepler-1644,Transit,2016,1.88,NA
2738,Kepler-1645 b,Kepler-1645,Transit,2016,1.78,NA
2739,Kepler-1646 b,Kepler-1646,Transit,2016,1.23,NA
2740,Kepler-1647 b,Kepler-1647,Transit,2016,11.874,483
2741,Kepler-1649 b,Kepler-1649,Transit,2017,1.017,NA
2742,Kepler-1649 c,Kepler-1649,Transit,2020,1.06,NA
2743,Kepler-165 b,Kepler-165,Transit,2014,2.32,NA
2744,Kepler-165 c,Kepler-165,Transit,2014,2.23,NA
2745,Kepler-1650 b,Kepler-1650,Transit,2017,0.96,NA
2746,Kepler-1651 b,Kepler-1651,Transit,2017,1.84,NA
2747,Kepler-1652 b,Kepler-1652,Transit,2017,1.6,NA
2748,Kepler-1653 b,Kepler-1653,Transit,2017,2.17,NA
2749,Kepler-1654 b,Kepler-1654,Transit,2018,9.18,158.915
2750,Kepler-1655 b,Kepler-1655,Transit,2018,2.213,5
2751,Kepler-1656 b,Kepler-1656,Transit,2018,NA,47.8
2752,Kepler-1656 c,Kepler-1656,Radial Velocity,2022,NA,126.4
2753,Kepler-1658 b,Kepler-1658,Transit,2019,11.994,1868.8404
2754,Kepler-166 b,Kepler-166,Transit,2014,2.27,NA
2755,Kepler-166 c,Kepler-166,Transit,2014,2.38,NA
2756,Kepler-166 d,Kepler-166,Transit,2016,1.73,NA
2757,Kepler-1661 b,Kepler-1661,Transit,2020,3.87,17
2758,Kepler-1663 b,Kepler-1663,Transit,2020,3.304,NA
2759,Kepler-1664 b,Kepler-1664,Transit,2020,3.033,NA
2760,Kepler-1665 b,Kepler-1665,Transit,2020,2.839,NA
2761,Kepler-1666 b,Kepler-1666,Transit,2020,2.883,NA
2762,Kepler-1666 c,Kepler-1666,Transit,2020,3.236,NA
2763,Kepler-1667 b,Kepler-1667,Transit,2020,2.984,NA
2764,Kepler-1668 b,Kepler-1668,Transit,2020,4.348,NA
2765,Kepler-1669 b,Kepler-1669,Transit,2020,2.78,NA
2766,Kepler-1669 c,Kepler-1669,Transit,2021,1.901,NA
2767,Kepler-167 b,Kepler-167,Transit,2014,1.718,NA
2768,Kepler-167 c,Kepler-167,Transit,2014,1.674,NA
2769,Kepler-167 d,Kepler-167,Transit,2016,1.238,NA
2770,Kepler-167 e,Kepler-167,Transit,2016,10.16,321.00669
2771,Kepler-1670 b,Kepler-1670,Transit,2020,3.356,NA
2772,Kepler-1671 b,Kepler-1671,Transit,2020,1.326,NA
2773,Kepler-1672 b,Kepler-1672,Transit,2020,2.97,NA
2774,Kepler-1673 b,Kepler-1673,Transit,2020,2.936,NA
2775,Kepler-1674 b,Kepler-1674,Transit,2020,3.206,NA
2776,Kepler-1675 b,Kepler-1675,Transit,2020,3.125,NA
2777,Kepler-1676 b,Kepler-1676,Transit,2020,3.377,NA
2778,Kepler-1677 b,Kepler-1677,Transit,2020,2.702,NA
2779,Kepler-1678 b,Kepler-1678,Transit,2020,3.304,NA
2780,Kepler-1679 b,Kepler-1679,Transit,2020,2.069,NA
2781,Kepler-168 b,Kepler-168,Transit,2014,1.46,NA
2782,Kepler-168 c,Kepler-168,Transit,2014,2.69,NA
2783,Kepler-1680 b,Kepler-1680,Transit,2020,1.36,NA
2784,Kepler-1681 b,Kepler-1681,Transit,2020,2.553,NA
2785,Kepler-1682 b,Kepler-1682,Transit,2020,2.889,NA
2786,Kepler-1683 b,Kepler-1683,Transit,2020,1.875,NA
2787,Kepler-1684 b,Kepler-1684,Transit,2020,2.871,NA
2788,Kepler-1685 b,Kepler-1685,Transit,2020,2.577,NA
2789,Kepler-1686 b,Kepler-1686,Transit,2020,1.426,NA
2790,Kepler-1687 b,Kepler-1687,Transit,2020,1.656,NA
2791,Kepler-1688 b,Kepler-1688,Transit,2020,1.262,NA
2792,Kepler-1689 b,Kepler-1689,Transit,2020,0.947,NA
2793,Kepler-169 b,Kepler-169,Transit,2014,1.13,NA
2794,Kepler-169 c,Kepler-169,Transit,2014,1.21,NA
2795,Kepler-169 d,Kepler-169,Transit,2014,1.25,NA
2796,Kepler-169 e,Kepler-169,Transit,2014,2.2,NA
2797,Kepler-169 f,Kepler-169,Transit,2014,2.58,NA
2798,Kepler-1690 b,Kepler-1690,Transit,2020,2.811,NA
2799,Kepler-1691 b,Kepler-1691,Transit,2020,1.835,NA
2800,Kepler-1692 b,Kepler-1692,Transit,2020,1.112,NA
2801,Kepler-1693 b,Kepler-1693,Transit,2020,1.289,NA
2802,Kepler-1693 c,Kepler-1693,Transit,2021,0.977,NA
2803,Kepler-1694 b,Kepler-1694,Transit,2020,1.18,NA
2804,Kepler-1695 b,Kepler-1695,Transit,2020,1.119,NA
2805,Kepler-1696 b,Kepler-1696,Transit,2020,2.81,NA
2806,Kepler-1697 b,Kepler-1697,Transit,2020,1.26,NA
2807,Kepler-1698 b,Kepler-1698,Transit,2020,1.073,NA
2808,Kepler-1699 b,Kepler-1699,Transit,2020,1.567,NA
2809,Kepler-17 b,Kepler-17,Transit,2011,14.68,778.65
2810,Kepler-170 b,Kepler-170,Transit,2014,3.2,NA
2811,Kepler-170 c,Kepler-170,Transit,2014,2.86,NA
2812,Kepler-1700 b,Kepler-1700,Transit,2020,2.901,NA
2813,Kepler-1701 b,Kepler-1701,Transit,2020,2.222,NA
2814,Kepler-1702 b,Kepler-1702,Transit,2020,1.602,NA
2815,Kepler-1704 b,Kepler-1704,Transit,2013,11.949,1322.16617
2816,Kepler-1705 b,Kepler-1705,Transit,2014,2.03,4.47
2817,Kepler-1705 c,Kepler-1705,Transit,2021,2.05,5.42
2818,Kepler-1708 b,Kepler-1708,Transit,2021,9.96,1462.01067
2819,Kepler-1709 b,Kepler-1709,Transit,2021,3.124,NA
2820,Kepler-171 b,Kepler-171,Transit,2014,2.34,NA
2821,Kepler-171 c,Kepler-171,Transit,2014,2.56,NA
2822,Kepler-171 d,Kepler-171,Transit,2014,1.89,NA
2823,Kepler-1710 b,Kepler-1710,Transit,2021,3.197,NA
2824,Kepler-1711 b,Kepler-1711,Transit,2021,1.923,NA
2825,Kepler-1712 b,Kepler-1712,Transit,2021,2.284,NA
2826,Kepler-1713 b,Kepler-1713,Transit,2021,1.717,NA
2827,Kepler-1714 b,Kepler-1714,Transit,2021,3.264,NA
2828,Kepler-1715 b,Kepler-1715,Transit,2021,4.14,NA
2829,Kepler-1716 b,Kepler-1716,Transit,2021,2.425,NA
2830,Kepler-1717 b,Kepler-1717,Transit,2021,2.989,NA
2831,Kepler-1718 b,Kepler-1718,Transit,2021,2.569,NA
2832,Kepler-1719 b,Kepler-1719,Transit,2021,3.95,NA
2833,Kepler-172 b,Kepler-172,Transit,2014,2.35,NA
2834,Kepler-172 c,Kepler-172,Transit,2014,2.86,NA
2835,Kepler-172 d,Kepler-172,Transit,2014,2.25,NA
2836,Kepler-172 e,Kepler-172,Transit,2014,2.76,NA
2837,Kepler-1720 b,Kepler-1720,Transit,2021,3.216,NA
2838,Kepler-1721 b,Kepler-1721,Transit,2021,3.119,NA
2839,Kepler-1722 b,Kepler-1722,Transit,2021,2.867,NA
2840,Kepler-1723 b,Kepler-1723,Transit,2021,2.88,NA
2841,Kepler-1724 b,Kepler-1724,Transit,2021,2.837,NA
2842,Kepler-1725 b,Kepler-1725,Transit,2021,2.813,NA
2843,Kepler-1726 b,Kepler-1726,Transit,2021,2.509,NA
2844,Kepler-1727 b,Kepler-1727,Transit,2021,3.173,NA
2845,Kepler-1728 b,Kepler-1728,Transit,2021,2.955,NA
2846,Kepler-1729 b,Kepler-1729,Transit,2021,3.894,NA
2847,Kepler-173 b,Kepler-173,Transit,2014,1.29,NA
2848,Kepler-173 c,Kepler-173,Transit,2014,2.43,NA
2849,Kepler-1730 b,Kepler-1730,Transit,2021,4.485,NA
2850,Kepler-1731 b,Kepler-1731,Transit,2021,2.933,NA
2851,Kepler-1732 b,Kepler-1732,Transit,2021,4.099,NA
2852,Kepler-1733 b,Kepler-1733,Transit,2021,3.636,NA
2853,Kepler-1734 b,Kepler-1734,Transit,2021,3.089,NA
2854,Kepler-1735 b,Kepler-1735,Transit,2021,1.194,NA
2855,Kepler-1736 b,Kepler-1736,Transit,2021,3.877,NA
2856,Kepler-1737 b,Kepler-1737,Transit,2021,5.395,NA
2857,Kepler-1738 b,Kepler-1738,Transit,2021,2.825,NA
2858,Kepler-1739 b,Kepler-1739,Transit,2021,2.431,NA
2859,Kepler-174 b,Kepler-174,Transit,2014,1.96,NA
2860,Kepler-174 c,Kepler-174,Transit,2014,1.49,NA
2861,Kepler-174 d,Kepler-174,Transit,2014,2.19,NA
2862,Kepler-1740 b,Kepler-1740,Transit,2021,3.323,NA
2863,Kepler-1741 b,Kepler-1741,Transit,2021,1.273,NA
2864,Kepler-1742 b,Kepler-1742,Transit,2021,2.178,NA
2865,Kepler-1743 b,Kepler-1743,Transit,2021,1.599,NA
2866,Kepler-1744 b,Kepler-1744,Transit,2021,3.768,NA
2867,Kepler-1745 b,Kepler-1745,Transit,2021,1.929,NA
2868,Kepler-1746 b,Kepler-1746,Transit,2021,8.935,NA
2869,Kepler-1747 b,Kepler-1747,Transit,2021,4.265,NA
2870,Kepler-1748 b,Kepler-1748,Transit,2021,2.713,NA
2871,Kepler-1749 b,Kepler-1749,Transit,2021,1.613,NA
2872,Kepler-175 b,Kepler-175,Transit,2014,2.56,NA
2873,Kepler-175 c,Kepler-175,Transit,2014,3.1,NA
2874,Kepler-1750 b,Kepler-1750,Transit,2021,6.004,NA
2875,Kepler-1751 b,Kepler-1751,Transit,2021,1.824,NA
2876,Kepler-1752 b,Kepler-1752,Transit,2021,4.541,NA
2877,Kepler-1753 b,Kepler-1753,Transit,2021,2.227,NA
2878,Kepler-1754 b,Kepler-1754,Transit,2021,2.44,NA
2879,Kepler-1755 b,Kepler-1755,Transit,2021,5.917,NA
2880,Kepler-1756 b,Kepler-1756,Transit,2021,1.472,NA
2881,Kepler-1757 b,Kepler-1757,Transit,2021,2.947,NA
2882,Kepler-1758 b,Kepler-1758,Transit,2021,2.571,NA
2883,Kepler-1759 b,Kepler-1759,Transit,2021,0.904,NA
2884,Kepler-176 b,Kepler-176,Transit,2014,1.43,NA
2885,Kepler-176 c,Kepler-176,Transit,2014,2.6,NA
2886,Kepler-176 d,Kepler-176,Transit,2014,2.51,NA
2887,Kepler-176 e,Kepler-176,Transit,2016,1.45,NA
2888,Kepler-1760 b,Kepler-1760,Transit,2021,2.29,NA
2889,Kepler-1761 b,Kepler-1761,Transit,2021,1.391,NA
2890,Kepler-1762 b,Kepler-1762,Transit,2021,2.76,NA
2891,Kepler-1763 b,Kepler-1763,Transit,2021,1.147,NA
2892,Kepler-1764 b,Kepler-1764,Transit,2021,4.555,NA
2893,Kepler-1765 b,Kepler-1765,Transit,2021,2.495,NA
2894,Kepler-1766 b,Kepler-1766,Transit,2021,2.279,NA
2895,Kepler-1767 b,Kepler-1767,Transit,2021,3.013,NA
2896,Kepler-1768 b,Kepler-1768,Transit,2021,2.233,NA
2897,Kepler-1769 b,Kepler-1769,Transit,2021,4.465,NA
2898,Kepler-177 b,Kepler-177,Transit,2013,3.5,5.84
2899,Kepler-177 c,Kepler-177,Transit,2013,8.73,14.7
2900,Kepler-1770 b,Kepler-1770,Transit,2021,2.841,NA
2901,Kepler-1771 b,Kepler-1771,Transit,2021,4.055,NA
2902,Kepler-1772 b,Kepler-1772,Transit,2021,2.686,NA
2903,Kepler-1773 b,Kepler-1773,Transit,2021,3.505,NA
2904,Kepler-1774 b,Kepler-1774,Transit,2021,3.182,NA
2905,Kepler-1775 b,Kepler-1775,Transit,2021,3.648,NA
2906,Kepler-1776 b,Kepler-1776,Transit,2021,2.612,NA
2907,Kepler-1777 b,Kepler-1777,Transit,2021,2.132,NA
2908,Kepler-1778 b,Kepler-1778,Transit,2021,3.017,NA
2909,Kepler-1779 b,Kepler-1779,Transit,2021,3.033,NA
2910,Kepler-178 b,Kepler-178,Transit,2014,2.9,NA
2911,Kepler-178 c,Kepler-178,Transit,2014,2.88,NA
2912,Kepler-178 d,Kepler-178,Transit,2014,3.95,NA
2913,Kepler-1780 b,Kepler-1780,Transit,2021,3.606,NA
2914,Kepler-1781 b,Kepler-1781,Transit,2021,2.381,NA
2915,Kepler-1782 b,Kepler-1782,Transit,2021,2.229,NA
2916,Kepler-1783 b,Kepler-1783,Transit,2021,1.319,NA
2917,Kepler-1784 b,Kepler-1784,Transit,2021,2.799,NA
2918,Kepler-1785 b,Kepler-1785,Transit,2021,2.704,NA
2919,Kepler-1786 b,Kepler-1786,Transit,2021,3.163,NA
2920,Kepler-1787 b,Kepler-1787,Transit,2021,2.319,NA
